"","Subject","trial","Value","Behaviour","sum_duration","X","birth_date","subject","sex","age_years","test.date","age","first_demo","first_condition","first_exp_id","second_demo","second_condition","second_exp_id","unable_experimenter","unwilling_experimenter","condition","block"
"147","Adderley",7,"2",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"148","Adderley",7,"3",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"149","Adderley",7,"4",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"150","Adderley",7,"5",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"151","Adderley",7,"6",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"152","Adderley",7,"7","trial",32.8999796,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"153","Adderley",7,"8",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"154","Adderley",7,"9",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"155","Adderley",7,"front_down",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
"156","Adderley",7,"lateral_approach",NA,0,6,"04.03.2019","subj.06","m",2,"28.11.2021",32,"B_CF","unwilling","CF","A_MS","unable","MS","MS","CF","unable",2
